FILENAME,LIBRARY NAME,SUPPLIER,URL
EffectiveTrailer_Alarms_Vol2_HalfNotes_003.wav,Effective Trailer Alarms Vol. 2,Federico Soler,https://sonniss.com/sound-effects/effective-trailer-alarms-vol-2/
EffectiveTrailer_Alarms_Vol2_QuarterNotes_013.wav,Effective Trailer Alarms Vol. 2,Federico Soler,https://sonniss.com/sound-effects/effective-trailer-alarms-vol-2/
EffectiveTrailer_Alarms_Vol2_WholeNotes_011.wav,Effective Trailer Alarms Vol. 2,Federico Soler,https://sonniss.com/sound-effects/effective-trailer-alarms-vol-2/
EffectiveTrailer_Booms_Vol2_011.wav,Effective Trailer Booms Vol. 2,Federico Soler,https://sonniss.com/sound-effects/effective-trailer-booms-vol-2/
EffectiveTrailer_Booms_Vol2_075.wav,Effective Trailer Booms Vol. 2,Federico Soler,https://sonniss.com/sound-effects/effective-trailer-booms-vol-2/
EffectiveTrailer_Booms_Vol2_214.wav,Effective Trailer Booms Vol. 2,Federico Soler,https://sonniss.com/sound-effects/effective-trailer-booms-vol-2/
ELECArc_ArcDesign15_InMotionAudio_Arc.wav,Arc,InMotionAudio,https://sonniss.com/sound-effects/arc/
ELECArc_ArcPowerUpDesign04_InMotionAudio_Arc.wav,Arc,InMotionAudio,https://sonniss.com/sound-effects/arc/
ELECBuzz_Buzz27_InMotionAudio_Arc.wav,Arc,InMotionAudio,https://sonniss.com/sound-effects/arc/
STORM_StormAmbience11_InMotionAudio_BackGardenStorm.wav,Back Garden Storm,InMotionAudio,https://sonniss.com/sound-effects/back-garden-storm/
STORM_StormAmbience13_InMotionAudio_BackGardenStorm.wav,Back Garden Storm,InMotionAudio,https://sonniss.com/sound-effects/back-garden-storm/
VEHCar_TownDrivingAmbience06_InMotionAudio_CarInteriorDrivingAmbience.wav,Car Interior Driving Ambience,InMotionAudio,https://sonniss.com/sound-effects/car-interior-driving-ambience/
VEHCar_TownDrivingAmbience13_InMotionAudio_CarInteriorDrivingAmbience.wav,Car Interior Driving Ambience,InMotionAudio,https://sonniss.com/sound-effects/car-interior-driving-ambience/
WINDInt_ChimneyWind05_InMotionAudio_ChimneyWind.wav,Chimney Wind,InMotionAudio,https://sonniss.com/sound-effects/chimney-wind/
OBJMisc_Cracker_Grab02_InMotionAudio_ChristmasCracker.wav,Christmas Cracker,InMotionAudio,https://sonniss.com/sound-effects/christmas-cracker/
OBJMisc_CrackerHatMovement16_InMotionAudio_ChristmasCracker.wav,Christmas Cracker,InMotionAudio,https://sonniss.com/sound-effects/christmas-cracker/
OBJMisc_CrackerPull_WithBang_Effected_03_InMotionAudio_ChristmasCracker.wav,Christmas Cracker,InMotionAudio,https://sonniss.com/sound-effects/christmas-cracker/
FOLYClth_ClothMovement24_InMotionAudio_FoleyT-Shirt.wav,Foley T-Shirt,InMotionAudio,https://sonniss.com/sound-effects/foley-t-shirt/
FOLYClth_ClothMovement29_InMotionAudio_FoleyT-Shirt.wav,Foley T-Shirt,InMotionAudio,https://sonniss.com/sound-effects/foley-t-shirt/
FOLYClth_SinglePats04_InMotionAudio_FoleyT-Shirt.wav,Foley T-Shirt,InMotionAudio,https://sonniss.com/sound-effects/foley-t-shirt/
AMBTran_MainHallAmbience03B_InMotionAudio_GrandCentralStation.wav,Grand Central Station,InMotionAudio,https://sonniss.com/sound-effects/grand-central-station/
VOXFutz_TannoyAnnouncement_MainHall08_InMotionAudio_GrandCentralStation.wav,Grand Central Station,InMotionAudio,https://sonniss.com/sound-effects/grand-central-station/
OBJLug_Case_Closed06_InMotionAudio_InstrumentCase.wav,Instrument Case,InMotionAudio,https://sonniss.com/sound-effects/instrument-case/
OBJLug_CaseDown_Concrete12_InMotionAudio_InstrumentCase.wav,Instrument Case,InMotionAudio,https://sonniss.com/sound-effects/instrument-case/
OBJLug_Handle_Movement15_InMotionAudio_InstrumentCase.wav,Instrument Case,InMotionAudio,https://sonniss.com/sound-effects/instrument-case/
BEEPMed_Thermometer_Beep11_InMotionAudio_MedicalThermometer.wav,Medical Thermometer,InMotionAudio,https://sonniss.com/sound-effects/medical-thermometer/
ELECEmf_Thermometer02_InMotionAudio_MedicalThermometer.wav,Medical Thermometer,InMotionAudio,https://sonniss.com/sound-effects/medical-thermometer/
MACHMed_Thermometer_ButtonPress_Beep03_InMotionAudio_MedicalThermometer.wav,Medical Thermometer,InMotionAudio,https://sonniss.com/sound-effects/medical-thermometer/
MUSCInst_Case_SaxPlace09_InMotionAudio_Saxophone.wav,Saxophone,InMotionAudio,https://sonniss.com/sound-effects/saxophone/
MUSCInst_Grabandrelease30_InMotionAudio_Saxophone.wav,Saxophone,InMotionAudio,https://sonniss.com/sound-effects/saxophone/
MUSCInst_KeyPress64_InMotionAudio_Saxophone.wav,Saxophone,InMotionAudio,https://sonniss.com/sound-effects/saxophone/
OBJMisc_ScratchCard_CardMovement_09_InMotionAudio_ScratchCard.wav,Scratch Card,InMotionAudio,https://sonniss.com/sound-effects/scratch-card/
OBJMisc_ScratchCard_CoinTapScratch_01_InMotionAudio_ScratchCard.wav,Scratch Card,InMotionAudio,https://sonniss.com/sound-effects/scratch-card/
OBJMisc_ScratchCard_SurfaceWipe_04_InMotionAudio_ScratchCard.wav,Scratch Card,InMotionAudio,https://sonniss.com/sound-effects/scratch-card/
DSGNErie_NoiseBoxHit_10_InMotionAudio_SinisterTextures4.wav,Sinister Textures 4,InMotionAudio,https://sonniss.com/sound-effects/sinister-textures-4/
DSGNErie_NoiseBoxHit_36_InMotionAudio_SinisterTextures4.wav,Sinister Textures 4,InMotionAudio,https://sonniss.com/sound-effects/sinister-textures-4/
GOREMisc_Cladding_NailScratch19_InMotionAudio_SinisterTextures5.wav,Sinister Textures 5,InMotionAudio,https://sonniss.com/sound-effects/sinister-textures-5/
GOREMisc_Cladding_Scratch06_InMotionAudio_SinisterTextures5.wav,Sinister Textures 5,InMotionAudio,https://sonniss.com/sound-effects/sinister-textures-5/
GOREMisc_Concrete_MetalPipe02_InMotionAudio_SinisterTextures5.wav,Sinister Textures 5,InMotionAudio,https://sonniss.com/sound-effects/sinister-textures-5/
AMBTran_TrainInterior09_InMotionAudio_UKTrainInteriorAmbience.wav,The Commute,InMotionAudio,https://sonniss.com/sound-effects/the-commute/
AMBTran_TrainInterior12_InMotionAudio_UKTrainInteriorAmbience.wav,The Commute,InMotionAudio,https://sonniss.com/sound-effects/the-commute/
