globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
40,walk,5,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-005.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-005.png,,,5.5972
41,walk,6,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-006.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-006.png,,,9.5301
42,walk,7,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-007.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-007.png,,,14.1857
43,walk,8,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-008.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-008.png,,,10.655
44,walk,9,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-009.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-009.png,,,12.8657
45,walk,10,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-010.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-010.png,,,10.4635
46,walk,11,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-011.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-011.png,,,13.9349
47,walk,12,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-012.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-012.png,,,12.8638
48,walk,13,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-013.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-013.png,,,12.5861
49,walk,14,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-014.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-014.png,,,18.6578
50,walk,15,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-015.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-015.png,,,9.9965
51,walk,16,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-016.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-016.png,,,13.7419
52,walk,17,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-017.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-017.png,,,15.5468
53,walk,18,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-018.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-018.png,,,11.6384
54,walk,19,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-019.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-019.png,,,14.7078
55,walk,20,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-020.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-020.png,,,10.8431
56,walk,21,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-021.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-021.png,,,9.0988
57,walk,22,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-022.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-022.png,,,15.6379
58,walk,23,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-023.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-023.png,,,12.4081
59,walk,24,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-024.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-024.png,,,12.8591
60,walk,25,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-025.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-025.png,,,12.9854
61,walk,26,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-026.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-026.png,,,12.4028
62,walk,27,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-027.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-027.png,,,14.0958
63,walk,28,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-028.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-028.png,,,16.5658
64,walk,29,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-029.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-029.png,,,15.0173
65,walk,30,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-030.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-030.png,,,15.8667
66,walk,31,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-031.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-031.png,,,10.6704
67,walk,32,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-032.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-032.png,,,18.2151
68,walk,33,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-033.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-033.png,,,12.6544
69,walk,34,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-034.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-034.png,,,15.2867
70,walk,35,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-035.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-035.png,,,11.7187
71,walk,36,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-036.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-036.png,,,16.6021
72,walk,37,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-037.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-037.png,,,12.899
73,walk,38,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-038.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-038.png,,,14.1944
74,walk,39,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-039.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-039.png,,,14.7646
75,walk,40,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-040.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-040.png,,,8.2619
76,walk,41,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-041.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-041.png,,,13.9331
77,walk,42,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-042.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-042.png,,,12.8665
78,walk,43,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-043.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-043.png,,,12.5842
79,walk,44,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-044.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-044.png,,,18.6525
80,walk,45,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-045.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-045.png,,,10.0106
81,walk,46,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-046.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-046.png,,,13.7435
82,walk,47,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-047.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-047.png,,,15.5407
83,walk,48,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-048.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-048.png,,,11.6308
84,walk,49,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-049.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-049.png,,,14.7061
85,walk,50,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-050.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-050.png,,,10.838
86,dig-sideways,0,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-000.png,,,
87,dig-sideways,1,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-001.png,,,28.0152
88,dig-sideways,2,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-002.png,,,28.9065
89,dig-sideways,3,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-003.png,,,9.5144
90,dig-sideways,4,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-004.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-004.png,,,13.6859
